"site_no","station_name","latitude","longitude","parameter","minyear","maxyear","difference","num_years","rate"
"01304562","PECONIC RIVER AT COUNTY HWY 105 AT RIVERHEAD NY",40.91777778,-72.6386667,"00010","2013","2019",0.402675686430561,6,0.0671126144050935
"01304562","PECONIC RIVER AT COUNTY HWY 105 AT RIVERHEAD NY",40.91777778,-72.6386667,"00300","2013","2019",0.276502793296089,6,0.0460837988826815
"01304562","PECONIC RIVER AT COUNTY HWY 105 AT RIVERHEAD NY",40.91777778,-72.6386667,"62361","2013","2019",2.93697731794668,6,0.489496219657779
"01304562","PECONIC RIVER AT COUNTY HWY 105 AT RIVERHEAD NY",40.91777778,-72.6386667,"62619","2013","2019",0.245133001935264,6,0.0408555003225439
"01304562","PECONIC RIVER AT COUNTY HWY 105 AT RIVERHEAD NY",40.91777778,-72.6386667,"63680","2013","2019",-11.6381461412151,6,-1.93969102353585
"01304562","PECONIC RIVER AT COUNTY HWY 105 AT RIVERHEAD NY",40.91777778,-72.6386667,"90860","2013","2019",-2.02472264226024,6,-0.337453773710041
"01304746","SHINNECOCK BAY AT PONQUOGUE NY",40.85055556,-72.50327778,NA,NA,NA,NA,NA,NA
"01304920","MORICHES BAY AT EAST MORICHES NY",40.7881111,-72.75086389,NA,NA,NA,NA,NA,NA
"01305575","GREAT SOUTH BAY AT WATCH HILL ON FIRE ISLAND NY",40.69138889,-72.9896944,NA,NA,NA,NA,NA,NA
"01306402","GREAT SOUTH BAY AT WEST SAYVILLE NY",40.72105556,-73.09125,NA,NA,NA,NA,NA,NA
"01309225","GREAT SOUTH BAY AT LINDENHURST NY",40.66926687,-73.3556765,"62619","2003","2019",0.472219178082192,16,0.029513698630137
"01310521","HUDSON BAY AT FREEPORT NY",40.6276026,-73.5754058,"62619","2000","2019",0.520405868702747,19,0.0273897825633025
"01310740","REYNOLDS CHANNEL AT POINT LOOKOUT NY",40.5934366,-73.5837396,"00010","2005","2019",0.512566867364148,14,0.0366119190974392
"01310740","REYNOLDS CHANNEL AT POINT LOOKOUT NY",40.5934366,-73.5837396,"00300","2005","2019",0.272493074792242,14,0.0194637910565887
"01310740","REYNOLDS CHANNEL AT POINT LOOKOUT NY",40.5934366,-73.5837396,"62361","2007","2019",5.73874966166192,12,0.478229138471826
"01310740","REYNOLDS CHANNEL AT POINT LOOKOUT NY",40.5934366,-73.5837396,"62619","1998","2019",0.280164383561644,21,0.013341161121983
"01310740","REYNOLDS CHANNEL AT POINT LOOKOUT NY",40.5934366,-73.5837396,"63680","2005","2019",0.453834484626846,14,0.0324167489019176
"01310740","REYNOLDS CHANNEL AT POINT LOOKOUT NY",40.5934366,-73.5837396,"90860","2005","2019",0.231256038647345,14,0.0165182884748104
"01311143","HOG ISLAND CHANNEL AT ISLAND PARK NY",40.6088333,-73.6561111,"00010","2011","2019",-0.502312447455616,8,-0.0627890559319519
"01311143","HOG ISLAND CHANNEL AT ISLAND PARK NY",40.6088333,-73.6561111,"00300","2011","2019",0.476292242922014,8,0.0595365303652517
"01311143","HOG ISLAND CHANNEL AT ISLAND PARK NY",40.6088333,-73.6561111,"62619","2011","2019",0.310841356087855,8,0.0388551695109819
"01311143","HOG ISLAND CHANNEL AT ISLAND PARK NY",40.6088333,-73.6561111,"63680","2014","2019",1.03276720894494,5,0.206553441788988
"01311143","HOG ISLAND CHANNEL AT ISLAND PARK NY",40.6088333,-73.6561111,"90860","2011","2019",0.471868738499285,8,0.0589835923124107
"01311145","EAST ROCKAWAY INLET AT ATLANTIC BEACH NY",40.59316026,-73.7373543,"62619","2003","2019",0.42386301369863,16,0.0264914383561644
"01311850","JAMAICA BAY AT INWOOD NY",40.6173266,-73.7579103,"62619","2003","2019",0.432,16,0.027
"01311875","ROCKAWAY INLET NEAR FLOYD BENNETT FIELD NY",40.57371636,-73.885136,"00010","2015","2018",0.253297546635048,3,0.0844325155450161
"01311875","ROCKAWAY INLET NEAR FLOYD BENNETT FIELD NY",40.57371636,-73.885136,"62619","2003","2019",0.444739500225802,16,0.0277962187641126
"01311875","ROCKAWAY INLET NEAR FLOYD BENNETT FIELD NY",40.57371636,-73.885136,"63680","2015","2018",0.126168682576005,3,0.0420562275253351
"01311875","ROCKAWAY INLET NEAR FLOYD BENNETT FIELD NY",40.57371636,-73.885136,"90860","2015","2018",-1.69229490022173,3,-0.56409830007391
"01376562","GREAT KILLS HARBOR AT GREAT KILLS NY",40.53888889,-74.12988889,NA,NA,NA,NA,NA,NA
